ID,class
0,3
1,8
2,0
3,5
4,6
5,0
6,5
7,0
8,4
9,0
10,2
11,6
12,1
13,6
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,9
23,1
24,2
25,5
26,8
27,9
28,0
29,4
30,2
31,6
32,8
33,4
34,9
35,1
36,3
37,4
38,7
39,4
40,3
41,1
42,1
43,5
44,2
45,3
46,6
47,4
48,3
49,9
50,6
51,6
52,3
53,6
54,1
55,2
56,8
57,8
58,7
59,5
60,6
61,6
62,3
63,2
64,2
65,9
66,0
67,5
68,6
69,4
70,1
71,3
72,5
73,8
74,6
75,4
76,2
77,1
78,1
79,9
80,8
81,5
82,1
83,3
84,1
85,6
86,5
87,7
88,7
89,7
90,2
91,7
92,1
93,1
94,0
95,5
96,3
97,0
98,5
99,1
100,6
101,2
102,1
103,2
104,0
105,3
106,8
107,8
108,7
109,2
110,7
111,1
112,1
113,6
114,0
115,1
116,1
117,4
118,9
119,3
120,2
121,1
122,5
123,9
124,1
125,2
126,3
127,6
128,6
129,4
130,2
131,1
132,0
133,3
134,2
135,9
136,5
137,9
138,7
139,3
140,6
141,6
142,4
143,6
144,0
145,1
146,2
147,6
148,4
149,6
150,5
151,6
152,7
153,3
154,1
155,9
156,6
157,4
158,1
159,8
160,8
161,8
162,0
163,8
164,9
165,3
166,2
167,1
168,8
169,0
170,4
171,4
172,3
173,8
174,1
175,8
176,4
177,3
178,1
179,4
180,5
181,3
182,6
183,2
184,3
185,9
186,0
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,4
198,5
199,5
200,4
201,6
202,0
203,4
204,0
205,1
206,3
207,5
208,6
209,8
210,5
211,8
212,9
213,5
214,3
215,8
216,4
217,3
218,6
219,3
220,8
221,7
222,0
223,6
224,9
225,5
226,3
227,5
228,5
229,4
230,8
231,1
232,3
233,3
234,6
235,1
236,6
237,2
238,4
239,6
240,3
241,9
242,4
243,7
244,9
245,6
246,6
247,4
248,1
249,4
250,4
251,3
252,0
253,8
254,3
255,6
256,8
257,0
258,2
259,0
260,3
261,0
262,3
263,3
264,3
265,8
266,5
267,3
268,5
269,8
270,9
271,1
272,6
273,7
274,0
275,5
276,0
277,3
278,1
279,4
280,9
281,8
282,3
283,0
284,1
285,3
286,2
287,6
288,5
289,7
290,8
291,5
292,7
293,8
294,5
295,2
296,7
297,4
298,7
299,8
300,1
301,2
302,7
303,1
304,8
305,4
306,8
307,6
308,2
309,3
310,3
311,7
312,0
313,3
314,7
315,3
316,5
317,3
318,4
319,2
320,1
321,6
322,2
323,9
324,4
325,4
326,6
327,7
328,3
329,4
330,4
331,7
332,6
333,4
334,3
335,3
336,4
337,5
338,1
339,2
340,7
341,4
342,8
343,7
344,3
345,8
346,5
347,3
348,4
349,9
350,5
351,9
352,5
353,8
354,9
355,0
356,1
357,3
358,5
359,7
360,0
361,2
362,3
363,0
364,2
365,6
366,9
367,1
368,3
369,3
370,4
371,3
372,8
373,4
374,1
375,5
376,3
377,9
378,1
379,3
380,2
381,3
382,1
383,0
384,8
385,5
386,3
387,1
388,8
389,7
390,6
391,3
392,8
393,0
394,2
395,4
396,7
397,5
398,3
399,7
400,6
401,4
402,6
403,3
404,4
405,6
406,8
407,4
408,8
409,6
410,3
411,8
412,2
413,9
414,6
415,7
416,8
417,7
418,6
419,9
420,8
421,2
422,5
423,9
424,6
425,8
426,3
427,3
428,6
429,7
430,3
431,6
432,5
433,3
434,9
435,5
436,2
437,7
438,8
439,7
440,3
441,4
442,1
443,3
444,3
445,1
446,4
447,0
448,3
449,6
450,6
451,1
452,9
453,2
454,9
455,3
456,5
457,5
458,3
459,9
460,9
461,4
462,1
463,5
464,3
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,3
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,0
482,7
483,3
484,8
485,2
486,1
487,6
488,6
489,4
490,0
491,1
492,3
493,0
494,0
495,0
496,7
497,6
498,7
499,1
500,2
501,3
502,0
503,7
504,3
505,6
506,3
507,2
508,2
509,2
510,8
511,9
512,8
513,4
514,0
515,8
516,4
517,3
518,5
519,3
520,5
521,2
522,2
523,5
524,2
525,5
526,6
527,6
528,4
529,8
530,3
531,3
532,8
533,4
534,5
535,7
536,6
537,7
538,7
539,4
540,4
541,8
542,0
543,3
544,6
545,7
546,9
547,8
548,0
549,6
550,9
551,4
552,5
553,1
554,9
555,7
556,6
557,9
558,3
559,5
560,1
561,6
562,5
563,5
564,6
565,5
566,9
567,9
568,6
569,8
570,3
571,8
572,0
573,2
574,8
575,3
576,0
577,6
578,8
579,3
580,0
581,7
582,4
583,6
584,5
585,3
586,4
587,3
588,3
589,5
590,4
591,2
592,0
593,6
594,5
595,9
596,1
597,4
598,3
599,6
600,8
601,0
602,3
603,3
604,9
605,0
606,4
607,8
608,2
609,3
610,4
611,8
612,0
613,5
614,4
615,5
616,0
617,6
618,7
619,2
620,1
621,5
622,9
623,5
624,3
625,7
626,3
627,3
628,9
629,3
630,6
631,9
632,1
633,0
634,1
635,8
636,2
637,8
638,9
639,6
640,1
641,1
642,3
643,4
644,5
645,1
646,5
647,3
648,8
649,6
650,2
651,7
652,3
653,8
654,5
655,2
656,8
657,4
658,3
659,3
660,8
661,4
662,3
663,4
664,2
665,2
666,7
667,4
668,6
669,8
670,9
671,8
672,5
673,4
674,4
675,1
676,9
677,6
678,8
679,7
680,3
681,8
682,0
683,5
684,8
685,2
686,7
687,5
688,2
689,4
690,1
691,8
692,5
693,5
694,8
695,8
696,9
697,5
698,7
699,0
700,9
701,4
702,9
703,6
704,6
705,0
706,5
707,0
708,4
709,2
710,3
711,8
712,9
713,2
714,3
715,5
716,3
717,7
718,8
719,0
720,4
721,6
722,9
723,5
724,2
725,6
726,9
727,4
728,1
729,3
730,3
731,4
732,8
733,1
734,0
735,9
736,3
737,4
738,3
739,6
740,0
741,3
742,4
743,5
744,4
745,4
746,2
747,2
748,7
749,6
750,8
751,4
752,6
753,3
754,6
755,0
756,9
757,2
758,8
759,3
760,3
761,0
762,6
763,8
764,3
765,6
766,4
767,3
768,2
769,5
770,9
771,0
772,4
773,9
774,2
775,6
776,2
777,1
778,3
779,8
780,3
781,1
782,9
783,5
784,4
785,9
786,5
787,3
788,1
789,8
790,2
791,1
792,5
793,4
794,3
795,7
796,9
797,3
798,8
799,1
800,2
801,7
802,5
803,3
804,3
805,4
806,4
807,7
808,3
809,2
810,3
811,8
812,3
813,5
814,2
815,9
816,0
817,2
818,6
819,6
820,8
821,1
822,5
823,0
824,9
825,6
826,5
827,6
828,1
829,5
830,2
831,5
832,8
833,2
834,6
835,3
836,1
837,0
838,9
839,8
840,4
841,1
842,3
843,1
844,3
845,1
846,8
847,0
848,9
849,8
850,5
851,6
852,4
853,4
854,8
855,6
856,6
857,2
858,0
859,6
860,9
861,2
862,1
863,8
864,7
865,3
866,9
867,4
868,9
869,3
870,3
871,4
872,2
873,1
874,2
875,3
876,6
877,2
878,4
879,3
880,1
881,6
882,3
883,1
884,0
885,6
886,5
887,5
888,1
889,1
890,6
891,0
892,0
893,4
894,3
895,6
896,3
897,0
898,1
899,9
900,0
901,2
902,1
903,9
904,6
905,5
906,8
907,3
908,6
909,6
910,5
911,7
912,1
913,6
914,7
915,5
916,5
917,2
918,5
919,1
920,7
921,3
922,0
923,3
924,8
925,3
926,4
927,4
928,0
929,6
930,8
931,0
932,5
933,6
934,2
935,5
936,1
937,1
938,7
939,1
940,0
941,5
942,8
943,4
944,0
945,8
946,6
947,6
948,9
949,3
950,3
951,7
952,3
953,4
954,6
955,0
956,2
957,1
958,0
959,9
960,4
961,5
962,9
963,1
964,3
965,8
966,1
967,5
968,2
969,5
970,6
971,5
972,8
973,1
974,9
975,8
976,4
977,7
978,3
979,3
980,6
981,5
982,3
983,7
984,4
985,1
986,5
987,4
988,4
989,9
990,4
991,6
992,1
993,4
994,3
995,2
996,1
997,5
998,1
999,6
1000,4
1001,6
1002,6
1003,3
1004,0
1005,3
1006,3
1007,5
1008,9
1009,3
1010,1
1011,1
1012,7
1013,5
1014,0
1015,6
1016,5
1017,0
1018,6
1019,2
1020,2
1021,1
1022,7
1023,2
1024,3
1025,5
1026,3
1027,8
1028,9
1029,8
1030,8
1031,8
1032,9
1033,5
1034,8
1035,1
1036,0
1037,8
1038,6
1039,8
1040,0
1041,3
1042,4
1043,9
1044,3
1045,0
1046,7
1047,8
1048,3
1049,5
1050,6
1051,7
1052,7
1053,9
1054,3
1055,1
1056,1
1057,3
1058,3
1059,8
1060,3
1061,2
1062,3
1063,0
1064,6
1065,8
1066,4
1067,1
1068,9
1069,6
1070,3
1071,4
1072,3
1073,1
1074,5
1075,3
1076,1
1077,4
1078,8
1079,9
1080,1
1081,6
1082,4
1083,1
1084,1
1085,9
1086,5
1087,4
1088,9
1089,1
1090,6
1091,3
1092,9
1093,4
1094,5
1095,8
1096,2
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,3
1105,4
1106,2
1107,1
1108,1
1109,4
1110,3
1111,6
1112,6
1113,8
1114,0
1115,2
1116,2
1117,0
1118,8
1119,5
1120,8
1121,3
1122,6
1123,4
1124,4
1125,4
1126,1
1127,8
1128,3
1129,1
1130,2
1131,5
1132,7
1133,2
1134,1
1135,6
1136,2
1137,4
1138,8
1139,4
1140,8
1141,3
1142,7
1143,9
1144,8
1145,5
1146,7
1147,6
1148,0
1149,6
1150,2
1151,4
1152,8
1153,9
1154,4
1155,7
1156,9
1157,2
1158,4
1159,7
1160,6
1161,1
1162,5
1163,2
1164,7
1165,3
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,0
1173,4
1174,2
1175,6
1176,6
1177,8
1178,3
1179,9
1180,8
1181,9
1182,0
1183,8
1184,8
1185,4
1186,8
1187,1
1188,0
1189,1
1190,3
1191,2
1192,3
1193,2
1194,1
1195,8
1196,6
1197,5
1198,6
1199,1
1200,3
1201,6
1202,3
1203,6
