ID,class
0,6
1,8
2,0
3,5
4,6
5,0
6,5
7,0
8,4
9,0
10,4
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,0
22,9
23,1
24,2
25,5
26,8
27,9
28,0
29,4
30,7
31,7
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,5
46,6
47,4
48,3
49,9
50,6
51,6
52,5
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,6
61,6
62,3
63,4
64,5
65,9
66,0
67,5
68,6
69,5
70,1
71,2
72,5
73,8
74,6
75,4
76,2
77,1
78,1
79,9
80,2
81,5
82,1
83,3
84,1
85,6
86,7
87,7
88,7
89,7
90,2
91,7
92,1
93,1
94,9
95,5
96,6
97,0
98,3
99,1
100,6
101,2
102,1
103,2
104,0
105,3
106,8
107,1
108,7
109,5
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,7
118,9
119,7
120,2
121,1
122,5
123,9
124,1
125,0
126,3
127,6
128,6
129,7
130,6
131,6
132,0
133,3
134,9
135,9
136,5
137,9
138,7
139,7
140,6
141,6
142,0
143,6
144,8
145,6
146,2
147,6
148,7
149,6
150,7
151,5
152,7
153,6
154,1
155,9
156,6
157,6
158,1
159,8
160,8
161,8
162,0
163,6
164,9
165,5
166,2
167,1
168,8
169,0
170,4
171,4
172,6
173,2
174,1
175,8
176,4
177,4
178,1
179,5
180,5
181,3
182,6
183,2
184,4
185,9
186,9
187,9
188,9
189,3
190,7
191,0
192,6
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,0
203,2
204,0
205,1
206,5
207,5
208,6
209,8
210,6
211,0
212,9
213,5
214,5
215,8
216,5
217,5
218,6
219,3
220,8
221,7
222,7
223,6
224,1
225,3
226,7
227,5
228,5
229,4
230,8
231,1
232,5
233,7
234,6
235,1
236,2
237,2
238,4
239,6
240,3
241,0
242,4
243,7
244,9
245,6
246,6
247,4
248,1
249,0
250,4
251,0
252,0
253,8
254,5
255,6
256,4
257,5
258,3
259,1
260,3
261,0
262,6
263,5
264,6
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,5
273,7
274,0
275,5
276,9
277,9
278,1
279,4
280,9
281,9
282,5
283,8
284,9
285,9
286,8
287,4
288,5
289,4
290,8
291,5
292,7
293,8
294,5
295,2
296,7
297,2
298,5
299,1
300,1
301,2
302,7
303,9
304,8
305,7
306,8
307,6
308,0
309,3
310,3
311,7
312,0
313,5
314,7
315,5
316,3
317,0
318,7
319,8
320,1
321,6
322,7
323,9
324,6
325,4
326,6
327,7
328,4
329,4
330,0
331,7
332,6
333,7
334,4
335,3
336,2
337,5
338,1
339,2
340,7
341,4
342,8
343,7
344,5
345,9
346,5
347,6
348,7
349,9
350,5
351,1
352,2
353,0
354,9
355,2
356,9
357,6
358,7
359,4
360,0
361,2
362,4
363,8
364,8
365,3
366,9
367,1
368,3
369,6
370,4
371,7
372,2
373,4
374,1
375,9
376,3
377,9
378,9
379,6
380,2
381,3
382,1
383,0
384,8
385,7
386,6
387,1
388,6
389,7
390,6
391,3
392,9
393,0
394,6
395,3
396,9
397,5
398,5
399,7
400,6
401,4
402,6
403,3
404,0
405,3
406,8
407,2
408,8
409,6
410,6
411,8
412,2
413,9
414,6
415,7
416,2
417,9
418,0
419,1
420,8
421,0
422,5
423,9
424,6
425,8
426,3
427,5
428,8
429,4
430,5
431,6
432,5
433,3
434,9
435,5
436,2
437,7
438,8
439,7
440,7
441,7
442,1
443,3
444,7
445,1
446,4
447,0
448,3
449,6
450,2
451,1
452,1
453,6
454,9
455,3
456,5
457,7
458,3
459,9
460,9
461,2
462,1
463,6
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,6
480,9
481,0
482,2
483,7
484,8
485,2
486,9
487,6
488,6
489,4
490,0
491,1
492,3
493,0
494,0
495,2
496,4
497,6
498,7
499,1
500,2
501,9
502,0
503,7
504,7
505,0
506,3
507,2
508,2
509,2
510,0
511,9
512,8
513,3
514,0
515,8
516,4
517,3
518,6
519,3
520,5
521,2
522,4
523,7
524,3
525,5
526,6
527,6
528,4
529,6
530,7
531,3
532,8
533,5
534,3
535,9
536,3
537,7
538,7
539,4
540,4
541,9
542,0
543,7
544,6
