ID,class
0,3
1,8
2,0
3,7
4,6
5,0
6,3
7,0
8,0
9,0
10,7
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,0
22,9
23,9
24,2
25,5
26,8
27,9
28,0
29,4
30,7
31,6
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,5
46,6
47,4
48,5
49,9
50,6
51,6
52,5
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,6
61,6
62,3
63,2
64,2
65,9
66,0
67,5
68,6
69,9
70,1
71,7
72,5
73,8
74,6
75,4
76,2
77,6
78,1
79,8
80,2
81,5
82,1
83,3
84,1
85,2
86,9
87,7
88,7
89,7
90,2
91,7
92,1
93,1
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,0
104,0
105,3
106,8
107,8
108,7
109,5
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,7
118,9
119,4
120,2
121,1
122,5
123,6
124,9
125,0
126,2
127,6
128,6
129,7
130,2
131,6
132,0
133,3
134,8
135,9
136,5
137,9
138,7
139,7
140,6
141,6
142,0
143,6
144,0
145,1
146,2
147,6
148,4
149,6
150,7
151,7
152,7
153,2
154,1
155,9
156,6
157,6
158,1
159,8
160,8
161,8
162,0
163,6
164,9
165,7
166,2
167,1
168,8
169,0
170,7
171,4
172,6
173,0
174,1
175,8
176,4
177,4
178,9
179,3
180,5
181,3
182,6
183,2
184,3
185,9
186,9
187,9
188,1
189,2
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,6
199,5
200,3
201,3
202,9
203,4
204,0
205,1
206,5
207,5
208,6
209,8
210,6
211,0
212,9
213,5
214,5
215,8
216,2
217,6
218,3
219,3
220,8
221,7
222,7
223,6
224,9
225,7
226,7
227,5
228,5
229,4
230,9
231,1
232,5
233,5
234,1
235,1
236,2
237,2
238,7
239,6
240,3
241,0
242,4
243,7
244,9
245,6
246,6
247,2
248,1
249,4
250,4
251,0
252,0
253,8
254,2
255,6
256,4
257,3
258,2
259,0
260,3
261,0
262,6
263,5
264,4
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,5
273,7
274,0
275,5
276,9
277,9
278,1
279,4
280,9
281,9
282,7
283,0
284,1
285,9
286,3
287,6
288,2
289,4
290,8
291,5
292,7
293,8
294,5
295,0
296,4
297,4
298,0
299,1
300,1
301,2
302,7
303,9
304,8
305,4
306,4
307,6
308,0
309,3
310,3
311,7
312,0
313,6
314,3
315,2
316,5
317,2
318,5
319,2
320,1
321,6
322,2
323,9
324,6
325,4
326,6
327,7
328,4
329,4
330,0
331,7
332,6
333,7
334,4
335,3
336,4
337,5
338,1
339,4
340,7
341,4
342,8
343,7
344,3
345,9
346,3
347,6
348,4
349,9
350,5
351,1
352,2
353,0
354,9
355,2
356,1
357,6
358,7
359,7
360,0
361,4
362,4
363,8
364,9
365,6
366,9
367,1
368,3
369,0
370,6
371,5
372,2
373,4
374,1
375,9
376,3
377,9
378,9
379,2
380,2
381,3
382,1
383,0
384,8
385,7
386,6
387,9
388,6
389,7
390,6
391,3
392,8
393,0
394,2
395,4
396,9
397,5
398,5
399,7
400,2
401,4
402,6
403,3
404,0
405,4
406,8
407,0
408,8
409,6
410,1
411,8
412,2
413,9
414,6
415,7
416,8
417,7
418,0
419,9
420,8
421,2
422,5
423,9
424,6
425,8
426,5
427,3
428,8
429,2
430,5
431,6
432,5
433,7
434,9
435,5
436,0
437,7
438,9
439,7
440,7
441,7
442,1
443,3
444,9
445,1
446,4
447,0
448,3
449,6
450,2
451,1
452,1
453,6
454,9
455,3
456,7
457,7
458,3
459,9
460,9
461,3
462,1
463,6
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,0
482,0
483,4
484,8
485,7
486,9
487,6
488,6
489,4
490,0
491,1
492,3
493,0
494,0
495,0
496,4
497,6
498,7
499,1
500,2
501,9
502,0
503,7
504,5
505,0
506,3
507,2
508,2
509,2
510,0
511,9
512,8
513,4
514,0
515,8
516,7
517,3
518,3
519,3
520,5
521,2
522,5
523,7
524,9
525,5
526,6
527,6
528,4
529,6
530,9
531,3
532,8
533,5
534,3
535,9
536,6
537,7
538,7
539,4
540,4
541,2
542,0
543,7
544,6
545,7
546,9
547,0
548,9
549,6
550,9
551,4
552,5
553,1
554,9
555,7
556,6
557,9
558,6
559,5
560,1
561,6
562,5
563,2
564,6
565,7
566,9
567,9
568,2
569,8
570,3
571,8
572,0
573,2
574,8
575,3
576,0
577,6
578,0
579,4
580,0
581,4
582,5
583,6
584,4
585,2
586,4
587,3
588,5
589,5
590,5
591,2
592,9
593,6
594,4
595,1
596,1
597,2
598,0
599,6
600,8
601,0
602,0
603,3
604,9
605,0
606,4
607,2
608,3
609,3
610,4
611,8
612,0
613,5
614,4
615,5
616,2
617,6
618,7
619,9
620,1
621,7
622,9
623,5
624,5
625,7
626,6
627,5
628,9
629,3
630,6
631,9
632,1
633,0
634,1
635,8
636,2
637,8
638,9
639,6
640,1
641,9
642,3
643,4
644,5
645,0
646,9
647,3
648,8
649,6
650,2
651,7
652,3
653,0
654,5
655,2
656,8
657,2
658,3
659,5
660,8
661,4
662,5
663,7
664,4
665,4
666,5
667,4
668,6
669,8
670,9
671,8
672,5
673,3
674,4
675,1
676,9
677,6
678,8
679,0
680,5
681,8
682,1
683,7
684,8
685,0
686,7
687,5
688,2
689,2
690,1
691,8
692,5
693,7
694,8
695,8
696,9
697,7
698,7
699,0
700,0
701,2
702,7
703,4
704,6
705,0
706,7
707,0
708,2
709,2
710,2
711,8
712,9
713,2
714,6
715,5
716,3
717,7
718,8
719,0
720,4
721,6
722,9
723,2
724,2
725,6
726,1
727,5
728,1
729,7
730,7
731,4
732,7
733,1
734,0
735,9
736,8
737,4
738,3
739,6
740,0
741,5
742,4
743,5
744,2
745,4
746,2
747,7
748,7
749,6
750,8
751,4
752,6
753,7
754,9
755,0
756,0
757,2
758,0
759,6
760,3
761,0
762,6
763,8
764,3
765,6
766,4
767,0
768,5
769,5
770,9
771,0
772,2
773,9
774,2
775,2
776,0
777,1
778,7
779,8
780,3
781,1
782,9
783,3
784,4
785,9
786,5
787,3
788,1
789,2
790,2
791,1
792,7
793,7
794,3
795,7
796,9
797,7
798,8
799,1
800,7
801,7
802,5
803,3
804,7
805,4
806,4
807,7
808,4
809,2
810,3
811,8
812,7
813,5
814,2
815,9
816,9
817,4
818,6
819,6
820,8
821,1
822,5
823,0
824,9
825,3
826,7
827,6
828,9
829,7
830,8
831,5
832,0
833,2
834,6
835,3
836,1
837,0
838,9
839,8
840,0
841,1
842,5
843,1
844,3
845,9
846,8
847,9
848,9
849,0
850,7
851,3
852,4
853,4
854,8
855,6
856,6
857,2
858,0
859,6
860,9
861,5
862,1
863,8
864,7
865,8
866,9
867,4
868,9
869,3
870,6
871,4
872,2
873,1
874,4
875,3
876,6
877,9
878,4
879,3
880,1
881,6
882,3
883,1
884,0
885,8
886,5
887,5
888,9
889,1
890,1
891,4
892,0
893,0
894,3
895,6
896,3
897,0
898,1
899,9
900,0
901,0
902,1
903,9
904,6
905,5
906,4
907,4
908,6
909,6
910,5
911,7
912,1
913,6
914,7
915,2
916,5
917,2
918,2
919,1
920,7
921,5
922,0
923,5
924,0
925,6
926,9
927,4
928,7
929,4
930,8
931,0
932,5
933,6
934,4
935,5
936,1
937,9
938,7
939,1
940,0
941,7
942,8
943,0
944,0
945,8
946,6
947,4
948,9
949,3
950,3
951,7
952,6
953,7
954,6
955,0
956,2
957,1
958,0
959,9
960,4
961,3
962,9
963,1
964,1
965,0
966,9
967,5
968,2
969,3
970,6
971,5
972,8
973,1
974,9
975,8
976,4
977,7
978,0
979,8
980,6
981,2
982,9
983,4
984,7
985,0
986,5
987,7
988,6
989,9
990,7
991,9
992,1
993,4
994,3
995,3
996,1
997,7
998,1
999,6
1000,3
1001,6
1002,6
1003,7
1004,0
1005,5
1006,3
1007,5
1008,1
1009,5
1010,1
1011,1
1012,7
1013,7
1014,0
1015,4
1016,5
1017,0
1018,6
1019,2
1020,2
1021,1
1022,7
1023,2
1024,4
1025,5
1026,3
1027,1
1028,9
1029,6
1030,0
1031,8
1032,9
1033,5
1034,8
1035,1
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,4
1043,9
1044,3
1045,0
1046,7
1047,8
1048,6
1049,5
1050,6
1051,7
1052,7
1053,9
1054,2
1055,1
1056,9
1057,3
1058,3
1059,8
1060,3
1061,2
1062,5
1063,0
1064,6
1065,8
1066,6
1067,1
1068,9
1069,6
1070,4
1071,4
1072,7
1073,1
1074,5
1075,3
1076,1
1077,7
1078,8
1079,9
1080,1
1081,4
1082,4
1083,1
1084,1
1085,9
1086,5
1087,6
1088,9
1089,1
1090,6
1091,8
1092,9
1093,4
1094,5
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,4
1102,5
1103,5
1104,5
1105,4
1106,2
1107,1
1108,1
1109,2
1110,3
1111,2
1112,0
1113,8
1114,0
1115,2
1116,7
1117,0
1118,8
1119,5
1120,8
1121,3
1122,6
1123,5
1124,4
1125,4
1126,1
1127,9
1128,3
1129,1
1130,3
1131,5
1132,7
1133,2
1134,4
1135,8
1136,4
1137,4
1138,8
1139,4
1140,3
1141,3
1142,7
1143,9
1144,8
1145,5
1146,7
1147,6
1148,0
1149,6
1150,2
1151,4
1152,8
1153,9
1154,4
1155,7
1156,9
1157,2
1158,4
1159,7
1160,6
1161,9
1162,5
1163,2
1164,7
1165,5
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,0
1173,3
1174,7
1175,2
1176,2
1177,8
1178,2
1179,9
1180,1
1181,1
1182,0
1183,8
1184,1
1185,4
1186,9
1187,1
1188,2
1189,9
1190,7
1191,2
1192,6
1193,3
1194,1
1195,8
1196,3
1197,5
1198,9
1199,1
1200,3
1201,6
1202,3
1203,6
