ID,class
0,5
1,8
2,0
3,5
4,6
5,0
6,5
7,4
8,0
9,0
10,7
11,2
12,1
13,6
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,0
22,9
23,9
24,4
25,5
26,0
27,9
28,0
29,4
30,7
31,5
32,8
33,2
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,5
46,6
47,4
48,5
49,9
50,6
51,6
52,4
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,8
61,6
62,3
63,2
64,5
65,9
66,0
67,5
68,4
69,2
70,1
71,4
72,5
73,8
74,6
75,4
76,2
77,1
78,1
79,8
80,4
81,5
82,1
83,3
84,1
85,2
86,0
87,7
88,7
89,7
90,2
91,7
92,1
93,5
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,2
104,0
105,5
106,8
107,1
108,7
109,2
110,7
111,1
112,1
113,4
114,0
115,9
116,1
117,4
118,9
119,4
120,2
121,1
122,5
123,9
124,9
125,2
126,3
127,6
128,6
129,7
130,2
131,6
132,0
133,3
134,8
135,9
136,7
137,9
138,7
139,4
140,6
141,6
142,0
143,6
144,8
145,1
146,2
147,6
148,4
149,6
150,7
151,5
152,7
153,2
154,1
155,9
156,6
157,4
158,1
159,8
160,8
161,8
162,0
163,2
164,9
165,5
166,6
167,1
168,8
169,0
170,7
171,4
172,6
173,2
174,1
175,8
176,4
177,4
178,1
179,5
180,5
181,3
182,6
183,2
184,2
185,9
186,9
187,9
188,1
189,7
190,7
191,0
192,2
193,7
194,5
195,5
196,8
197,7
198,1
199,5
200,7
201,6
202,0
203,4
204,0
205,1
206,5
207,5
208,6
209,8
210,7
211,0
212,9
213,5
214,2
215,8
216,2
217,6
218,6
219,3
220,8
221,4
222,7
223,6
224,9
225,4
226,7
227,5
228,5
229,4
230,9
231,1
232,6
233,7
234,1
235,1
236,2
237,2
238,4
239,6
240,3
241,0
242,3
243,7
244,9
245,6
246,6
247,4
248,1
249,0
250,4
251,3
252,0
253,8
254,3
255,3
256,4
257,0
258,3
259,0
260,3
261,0
262,6
263,5
264,3
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,7
273,7
274,0
275,5
276,0
277,9
278,1
279,4
280,9
281,9
282,7
283,0
284,1
285,2
286,3
287,4
288,7
289,4
290,8
291,5
292,7
293,8
294,5
295,2
296,7
297,3
298,8
299,8
300,1
301,2
302,7
303,9
304,8
305,7
306,0
307,6
308,0
309,2
310,3
311,7
